gene	20191001_sample_1_S1	20191001_sample_2_S3	20191001_sample_3_S5	20191001_sample_4_S7	20191001_sample_5_S9	20191001_sample_6_S11	20191003_sample_2_S13	20191003_sample_3_S15	20191003_sample_4_S17	20191003_sample_5_S19	20191003_sample_6_S21	20191010_sample_1_S2	20191010_sample_2_S4	20191010_sample_3_S6	20191010_sample_4_S8	20191010_sample_6_S10	20191010_sample_7_S12	20191028_sample_1_S14	20191028_sample_2_S16	20191028_sample_3_S18	20191028_sample_4_S20	20191028_sample_5_S22	20191030_sample_2_S24	20191030_sample_3_S26	20191030_sample_4_S28	20191030_sample_5_S30	20191101_sample_1_S32	20191101_sample_2_S34	20191101_sample_3_S36	20191101_sample_4_S38	20191101_sample_5_S40	20191101_sample_6_S23	20191104_sample_1_S25	20191104_sample_2_S27	20191104_sample_3_S29	20191104_sample_4_S31	20191105_sample_1_S33	20191105_sample_2_S35	20191105_sample_3_S37	20191105_sample_4_S39	20191105_sample_5_S41	20191106_sample_2_S42	20191106_sample_3_S44	20191106_sample_5_S46	20191107_sample_1_S48	20191107_sample_2_S50	20191107_sample_3_S52	20191107_sample_4_S54	20191108_sample_1_S56	20191108_sample_4_S58	20191108_sample_5_S60	20191114_sample_1_S43	20191114_sample_2_S45	20191114_sample_3_S47	20191114_sample_4_S49	20191114_sample_5_S51	20191114_sample_7_S53	20191114_sample_8_S55	20191114_sample_9_S57	BLANK_1_S59	BLANK_2_S61	BLANK_3_S62	Undetermined_S0
Troap	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ak4	0	0	0	0	0	0	0	0	0	0	0	778	0	142	0	0	0	0	0	0	0	1	0	0	0	0	2115	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	91
Lrrn3	0	0	0	0	0	378	0	0	0	0	0	1	451	10	132	422	0	0	0	1940	0	0	10	0	0	1	0	0	0	2596	7065	0	1	2	0	0	0	0	0	0	144	0	3287	0	0	0	0	0	95	1	2	1	0	1691	0	0	2	0	1281	0	0	0	565
Pgd	0	0	0	566	0	328	0	283	0	265	0	0	357	100	5	511	0	188	0	0	0	0	0	0	0	0	298	0	0	0	0	2	0	1	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	270	0	358	0	0	0	0	0	0	0	0	124
Pde2a	158	0	2317	982	8	522	1026	317	5018	7521	353	355	7365	716	0	4001	1611	547	0	446	0	0	4	622	0	655	2250	0	1462	1	1052	218	3	3	0	556	6	1	2332	2184	2735	0	1307	1	0	506	2779	288	1	0	1	1	0	871	39	1	1056	842	2934	1	0	1	1550
Fignl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morn3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adora1	0	0	0	0	0	298	0	0	0	0	1053	0	2210	1639	0	1025	301	0	0	1	0	0	0	914	0	0	0	0	3	0	1	14	0	1	0	0	2	0	0	0	229	128	29	0	0	21	0	1	970	0	25	0	0	459	0	4	130	0	0	0	0	0	236
Tpd52l2	903	0	0	0	92	0	0	0	0	20	14	2	2937	869	0	408	12	776	0	0	0	4	0	6	0	61	0	0	0	0	723	158	0	0	0	0	0	0	606	0	384	1809	0	1234	0	0	0	0	265	0	0	4	0	0	0	0	0	0	13	0	0	0	428
Mef2a	122	0	825	1049	42	1	0	284	0	624	885	1209	1021	1536	62	2502	131	33	0	783	0	4	0	151	0	7	3991	0	980	9	1	5	0	2	0	1	0	0	2482	1409	266	1806	0	3246	0	2764	154	2	2630	4063	11	751	0	734	0	0	737	0	1	1	0	0	1133
Zfp712	0	0	0	0	0	0	0	0	71	0	0	0	0	67	821	1361	0	0	0	272	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1237	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114
Fam129c	0	0	0	0	209	0	0	0	0	0	42	0	0	0	0	0	58	0	0	0	0	0	0	442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	21
Atp5g3	285	272	402	756	14	213	371	201	51	2525	167	232	3301	2190	126	2183	198	279	64	23	1	6	107	115	790	21	2240	0	176	461	2198	10	8	0	0	226	288	39	501	445	533	1342	214	483	0	1721	571	2	325	95	49	21	1	0	2	1	0	293	602	1	0	0	883
Gas2	0	0	0	0	0	0	0	0	0	0	554	0	0	0	0	1276	0	0	0	621	0	0	0	293	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3266	0	0	0	0	0	0	0	504	0	0	0	0	0	0	0	0	0	0	0	1	0	0	243
Apoa5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
