MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1352629	Abcc8	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	7		potassium channel activity			ISO	Q09428 	J:164563 	
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	6	contributes_to	cation channel activity			ISO	RGD:3787 	J:155856 	
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	6	contributes_to	potassium channel activity			IMP	MGI:2155916 	J:165682 	
MGI:1352630	Abcc9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	6	contributes_to	potassium channel activity			ISO	O60706 	J:164563 	
MGI:2142149	Ano1	anoctamin 1, calcium activated chloride channel	7		calcium activated cation channel activity			ISO	Q5XXA6 	J:164563 	
MGI:2142149	Ano1	anoctamin 1, calcium activated chloride channel	7		chloride channel activity			IBA	PTN000267391 	J:265628 	
MGI:2142149	Ano1	anoctamin 1, calcium activated chloride channel	7		chloride channel activity	happens in type B pancreatic cell		IMP		J:221546 	
MGI:2142149	Ano1	anoctamin 1, calcium activated chloride channel	7		chloride channel activity			ISO	Q5XXA6 	J:164563 	
MGI:2142149	Ano1	anoctamin 1, calcium activated chloride channel	7		intracellular calcium activated chloride channel activity			IBA	PTN000959838 	J:265628 	
MGI:2142149	Ano1	anoctamin 1, calcium activated chloride channel	7		intracellular calcium activated chloride channel activity	happens in fetal thymocyte|happens in experimentally modified cell in vitro		IDA		J:198369 	
MGI:2142149	Ano1	anoctamin 1, calcium activated chloride channel	7		intracellular calcium activated chloride channel activity	is a part of cellular response to heat,happens in sensory neuron of dorsal root ganglion		IDA		J:191353 	
MGI:2142149	Ano1	anoctamin 1, calcium activated chloride channel	7		intracellular calcium activated chloride channel activity			IDA		J:141010 J:165954 J:190271 J:196141 J:276378 	
MGI:2142149	Ano1	anoctamin 1, calcium activated chloride channel	7		intracellular calcium activated chloride channel activity			ISO	RGD:1310786 	J:155856 	
MGI:2142149	Ano1	anoctamin 1, calcium activated chloride channel	7		intracellular calcium activated chloride channel activity			ISO	Q5XXA6 	J:164563 	
MGI:2142149	Ano1	anoctamin 1, calcium activated chloride channel	7		voltage-gated chloride channel activity			IDA		J:191353 	
MGI:2387214	Ano2	anoctamin 2	6		chloride channel activity			IBA	PTN000267391 	J:265628 	
MGI:2387214	Ano2	anoctamin 2	6		intracellular calcium activated chloride channel activity			IBA	PTN000959838 	J:265628 	
MGI:2387214	Ano2	anoctamin 2	6		intracellular calcium activated chloride channel activity	happens in fetal thymocyte|happens in experimentally modified cell in vitro		IDA		J:198369 	
MGI:2387214	Ano2	anoctamin 2	6		intracellular calcium activated chloride channel activity			IDA		J:149521 J:155179 J:155364 J:165954 J:190271 	
MGI:2387214	Ano2	anoctamin 2	6		intracellular calcium activated chloride channel activity	happens in olfactory epithelium,happens in olfactory receptor cell|happens in vomeronasal organ epithelium,happens in olfactory receptor cell		IMP	MGI:5052299 	J:173937 	
MGI:2387214	Ano2	anoctamin 2	6		intracellular calcium activated chloride channel activity			ISO	RGD:1591606 	J:155856 	
MGI:2387214	Ano2	anoctamin 2	6		intracellular calcium activated chloride channel activity			ISO	Q9NQ90 	J:164563 	
MGI:3613666	Ano3	anoctamin 3	2		chloride channel activity			IBA	PTN000267391 	J:265628 	
MGI:3613666	Ano3	anoctamin 3	2	NOT	intracellular calcium activated chloride channel activity	happens in fetal thymocyte|happens in experimentally modified cell in vitro		IDA		J:198369 	
MGI:2443344	Ano4	anoctamin 4	10		chloride channel activity			IBA	PTN000267391 	J:265628 	
MGI:2443344	Ano4	anoctamin 4	10	NOT	intracellular calcium activated chloride channel activity	happens in fetal thymocyte|happens in experimentally modified cell in vitro		IDA		J:198369 	
MGI:2443344	Ano4	anoctamin 4	10	NOT	intracellular calcium activated chloride channel activity			IDA		J:190271 	
MGI:3576659	Ano5	anoctamin 5	7		chloride channel activity			IBA	PTN000267391 	J:265628 	
MGI:3576659	Ano5	anoctamin 5	7	NOT	intracellular calcium activated chloride channel activity	happens in fetal thymocyte|happens in experimentally modified cell in vitro		IDA		J:198369 	
MGI:2145890	Ano6	anoctamin 6	15		calcium activated cation channel activity			IDA		J:188263 	
MGI:2145890	Ano6	anoctamin 6	15		calcium activated cation channel activity			ISO	Q4KMQ2 	J:164563 	
MGI:2145890	Ano6	anoctamin 6	15		chloride channel activity			IBA	PTN000267391 	J:265628 	
MGI:2145890	Ano6	anoctamin 6	15	NOT	intracellular calcium activated chloride channel activity	happens in fetal thymocyte|happens in experimentally modified cell in vitro		IDA		J:198369 	
MGI:2145890	Ano6	anoctamin 6	15	NOT	intracellular calcium activated chloride channel activity			IDA		J:190271 	
MGI:2145890	Ano6	anoctamin 6	15		intracellular calcium activated chloride channel activity			IDA		J:165954 J:276401 	
MGI:2145890	Ano6	anoctamin 6	15		intracellular calcium activated chloride channel activity	happens in dendritic cell		IMP		J:203552 	
MGI:2145890	Ano6	anoctamin 6	15		voltage-gated chloride channel activity			ISO	Q4KMQ2 	J:164563 	
MGI:3052714	Ano7	anoctamin 7	1		chloride channel activity			IBA	PTN000267391 	J:265628 	
MGI:3052714	Ano7	anoctamin 7	1	NOT	intracellular calcium activated chloride channel activity	happens in fetal thymocyte|happens in experimentally modified cell in vitro		IDA		J:198369 	
MGI:3052714	Ano7	anoctamin 7	1		intracellular calcium activated chloride channel activity		PR:Q14AT5-1	IDA		J:165954 	
MGI:3052714	Ano7	anoctamin 7	1		intracellular calcium activated chloride channel activity		PR:Q14AT5-2	IDA		J:165954 	
MGI:2687327	Ano8	anoctamin 8	8	NOT	intracellular calcium activated chloride channel activity	happens in fetal thymocyte|happens in experimentally modified cell in vitro		IDA		J:198369 	
MGI:1918595	Ano9	anoctamin 9	7		chloride channel activity			IBA	PTN000267391 	J:265628 	
MGI:1918595	Ano9	anoctamin 9	7	NOT	intracellular calcium activated chloride channel activity	happens in fetal thymocyte|happens in experimentally modified cell in vitro		IDA		J:198369 	
MGI:2143103	Ano10	anoctamin 10	9		calcium activated cation channel activity			ISO	Q9NW15 	J:164563 	
